"Oturum ülkesi","Oturum bölgesi","Oturum şehri","Online mağaza ziyaretçileri","Oturumlar","Online store visitors (previous_year)","Sessions (previous_year)","Online store visitors (previous_year) ","Sessions (previous_year) "
"Türkiye","Muğla","Muğla",94,132,0,0,,
"Türkiye","Sivas","Sivas",114,129,0,0,,
"Türkiye","Antalya","Muratpaşa",102,125,0,0,,
"Türkiye","Samsun","Atakum",116,125,0,0,,
"Türkiye","Canakkale","Merkez",99,124,0,0,,
"Türkiye","Antalya","Yukarıkaraman",109,124,0,0,,
"Türkiye","Mersin","Merkez",98,122,0,0,,
"Türkiye","Kütahya","Kütahya",93,114,0,0,,
"Türkiye","Mardin","Mardin",98,112,0,0,,
"Türkiye","Zonguldak Province","Zonguldak",103,112,0,0,,
"Türkiye","Şanlıurfa","Sanliurfa",96,108,0,0,,
"Türkiye","Çorum","Çorum",96,106,0,0,,
"Türkiye","Hatay","Antakya",90,103,0,0,,
"Türkiye","Batman","Batman",84,97,0,0,,
"Türkiye","Istanbul","Eyüpsultan",87,97,0,0,,
"Türkiye","Tekirdağ","Çerkezköy",83,96,0,0,,
"Türkiye","Adıyaman Province","Adıyaman",84,94,0,0,,
"Germany","Hesse","Frankfurt am Main",82,94,0,0,,
"Türkiye","Şanlıurfa","Karaköprü",79,91,0,0,,
"Türkiye","Ordu","Altinordu",80,89,0,0,,
"Türkiye","Erzurum","Erzurum",83,88,0,0,,
"Türkiye","Istanbul","Kocasinan",63,85,0,0,,
"Türkiye","Kayseri","Talas",77,81,0,0,,
"Türkiye","Nevşehir Province","Nevşehir",69,81,0,0,,
"Türkiye","Edirne","Edirne",48,76,0,0,,
"Türkiye","Muğla","Fethiye",68,75,0,0,,
"Türkiye","Istanbul","Sarıyer",64,75,0,0,,
"Türkiye","İzmir Province","Konak",70,75,0,0,,
"Türkiye","Samsun",,71,74,0,0,,
"Türkiye","Kırıkkale","Kırıkkale",58,73,0,0,,
"United States",,,66,66,0,0,,
"Türkiye","Bolu","Bolu",60,61,0,0,,
"Türkiye","Rize Province","Rize",52,60,0,0,,
"Türkiye","Tekirdağ","Çorlu",42,60,0,0,,
"Türkiye","Antalya","Konyaalti",56,59,0,0,,
"Türkiye","Kocaeli","Gölcük",58,58,0,0,,
"Türkiye","Kars Province","Kars",50,53,0,0,,
"Türkiye","Hatay","İskenderun",49,52,0,0,,
"Türkiye","Aksaray","Aksaray",48,50,0,0,,
"Türkiye","Istanbul","Sancaktepe",43,49,0,0,,
"Türkiye","Canakkale","Çanakkale",45,48,0,0,,
"Switzerland","Zurich","Zurich",41,47,0,0,,
"Türkiye","Kocaeli","Körfez",42,47,0,0,,
"Türkiye","İzmir Province","Karabağlar",44,45,0,0,,
"Türkiye","Kocaeli","Çayırova",37,45,0,0,,
"Türkiye","Istanbul","Büyükçekmece",32,44,0,0,,
"Türkiye","Mersin",,44,44,0,0,,
"Türkiye","Konya","Karatay",39,44,0,0,,
"Saudi Arabia","Riyadh Region","Riyadh",38,43,0,0,,
"Türkiye","Bartın","Bartın",37,43,0,0,,
"Türkiye","Istanbul","Güngören",40,43,0,0,,
"Saudi Arabia","Medina Region","Medina",35,42,0,0,,
"Türkiye","Uşak","Uşak",37,41,0,0,,
"Türkiye","Amasya",,38,39,0,0,,
"Türkiye","Giresun","Giresun",32,39,0,0,,
"Türkiye","Çankırı","Çankırı",36,38,0,0,,
